original,Date,Open,High,Low,Close,Adj Close,Volume
20181207,2018-12-07,33.8,34.4,33.65,33.7,32.5892,1220210
20181210,2018-12-10,33.7,34.1,33.25,33.7,32.5892,1556580
20181211,2018-12-11,33.7,33.85,33.4,33.55,32.4441,1148790
20181212,2018-12-12,33.7,34.65,33.4,34.65,33.5079,2225990
20181213,2018-12-13,34.95,34.95,34.3,34.3,33.1694,1610470
20181214,2018-12-14,34.2,34.8,33.8,33.9,32.7826,1214630
20181217,2018-12-17,33.45,34.05,33.2,33.2,32.1057,2272850
20181218,2018-12-18,32.7,33.65,32.5,33.65,32.5408,2348370
20181219,2018-12-19,33.65,33.95,33.3,33.3,32.2024,1314340
20181220,2018-12-20,33.5,34.25,33.4,33.95,32.8309,1635620
20181221,2018-12-21,33.8,34.05,33.4,34,32.8793,706310
20181224,2018-12-24,34,34.75,33.8,34,32.8793,1857900
20181225,2018-12-25,33.2,33.75,31.7,32.75,31.6705,1827680
20181226,2018-12-26,32.75,33.45,32.55,32.6,31.5254,1036860
20181227,2018-12-27,33.8,34.45,33.55,34,32.8793,1643520
20181228,2018-12-28,33.8,34.4,33.65,34.4,33.2661,2131820
20190102,2019-01-02,34.4,34.4,33.45,33.5,32.3958,805700
20190103,2019-01-03,33.5,33.8,32,32,30.9452,1107500
20190104,2019-01-04,31.5,31.95,30.8,31.55,30.51,1457300
20190107,2019-01-07,32,33,32,32.3,31.2353,806060
20190108,2019-01-08,32.6,32.6,31.9,32,30.9452,558540
20190109,2019-01-09,32.3,33.05,32.1,33,31.9123,1075730
20190110,2019-01-10,33,33.1,32.5,32.5,31.4287,410690
20190111,2019-01-11,32.5,32.8,31.85,31.9,30.8485,941940
20190114,2019-01-14,31.9,32.35,31.45,31.9,30.8485,755920
20190115,2019-01-15,31.75,32.8,31.75,32.5,31.4287,580710
20190116,2019-01-16,32.7,32.75,32.2,32.2,31.1386,363680
20190117,2019-01-17,32.2,32.4,31.9,31.95,30.8969,297560
20190118,2019-01-18,31.95,32.3,31.65,31.7,30.6551,509140
20190121,2019-01-21,32,33.35,31.7,32.85,31.7672,1207560
20190122,2019-01-22,32.9,33.1,32.7,32.75,31.6705,563940
20190123,2019-01-23,32.4,32.85,32.1,32.7,31.6221,457760
20190124,2019-01-24,32.55,32.85,32.5,32.5,31.4287,579540
20190125,2019-01-25,32.7,32.7,32,32.05,30.9936,570980
